Indikator,Auspraegung,Jahr,Raumbezug,Indikatorwert,Basiswert1,Basiswert2,Basiswert3,Basiswert4,Basiswert5,NameBasiswert1,NameBasiswert2,NameBasiswert3,NameBasiswert4,NameBasiswert5
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,04 Schwabing - West,3.3,7,212,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,05 Au - Haidhausen,0.0,0,125,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,06 Sendling,23.6,13,55,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,07 Sendling - Westpark,18.0,11,61,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,08 Schwanthalerhöhe,1.9,1,54,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,09 Neuhausen - Nymphenburg,2.2,12,540,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,10 Moosach,24.1,26,108,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,11 Milbertshofen - Am Hart,4.9,18,365,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,12 Schwabing - Freimann,11.3,37,327,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,13 Bogenhausen,23.4,56,239,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,14 Berg am Laim,6.2,8,130,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,15 Trudering - Riem,28.0,91,325,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,16 Ramersdorf - Perlach,11.6,68,584,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,17 Obergiesing - Fasangarten,4.7,15,321,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,18 Untergiesing - Harlaching,8.5,16,189,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,8.4,53,630,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,20 Hadern,15.5,26,168,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,21 Pasing - Obermenzing,11.9,86,724,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,22 Aubing - Lochhausen - Langwied,3.8,68,1786,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,23 Allach - Untermenzing,34.2,77,225,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,24 Feldmoching - Hasenbergl,18.4,36,196,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2021,25 Laim,6.5,11,168,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,Stadt München,9.5,965,10204,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,01 Altstadt - Lehel,20.0,2,10,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,02 Ludwigsvorstadt - Isarvorstadt,88.0,0,0,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,03 Maxvorstadt,3.6,3,84,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,04 Schwabing - West,0.0,0,210,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,05 Au - Haidhausen,0.9,1,116,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,06 Sendling,0.5,4,759,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,07 Sendling - Westpark,8.7,30,346,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,08 Schwanthalerhöhe,0.0,0,21,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,09 Neuhausen - Nymphenburg,3.9,10,256,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,10 Moosach,4.7,21,446,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,11 Milbertshofen - Am Hart,4.2,31,733,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,12 Schwabing - Freimann,13.0,37,284,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,13 Bogenhausen,26.5,115,434,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,14 Berg am Laim,10.8,11,102,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,15 Trudering - Riem,19.5,142,727,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,16 Ramersdorf - Perlach,5.4,54,1009,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,17 Obergiesing - Fasangarten,17.3,19,110,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,18 Untergiesing - Harlaching,13.5,29,215,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,9.3,66,713,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,20 Hadern,14.2,30,211,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,21 Pasing - Obermenzing,13.2,83,629,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,22 Aubing - Lochhausen - Langwied,5.1,77,1503,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,23 Allach - Untermenzing,23.1,97,420,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,24 Feldmoching - Hasenbergl,14.0,89,635,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2020,25 Laim,6.1,14,231,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,Stadt München,8.1,795,9819,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,01 Altstadt - Lehel,0.0,0,11,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,02 Ludwigsvorstadt - Isarvorstadt,6.8,3,44,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,03 Maxvorstadt,3.0,3,100,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,04 Schwabing - West,0.0,0,165,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,05 Au - Haidhausen,0.2,1,564,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,06 Sendling,0.0,0,88,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,07 Sendling - Westpark,3.9,16,407,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,08 Schwanthalerhöhe,88.0,0,0,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,09 Neuhausen - Nymphenburg,1.5,6,411,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,10 Moosach,9.8,36,366,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,11 Milbertshofen - Am Hart,8.2,27,329,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,12 Schwabing - Freimann,36.3,29,80,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,13 Bogenhausen,32.7,71,217,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,14 Berg am Laim,25.0,13,52,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,15 Trudering - Riem,16.3,113,694,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,16 Ramersdorf - Perlach,12.4,67,540,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,17 Obergiesing - Fasangarten,2.1,5,234,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,18 Untergiesing - Harlaching,7.7,33,426,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,5.9,48,814,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,20 Hadern,53.2,50,94,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,21 Pasing - Obermenzing,3.7,67,1789,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,22 Aubing - Lochhausen - Langwied,6.8,78,1139,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,23 Allach - Untermenzing,9.3,59,635,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,24 Feldmoching - Hasenbergl,27.9,56,201,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2019,25 Laim,3.3,14,419,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,Stadt München,9.2,1008,10992,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,01 Altstadt - Lehel,0.0,0,8,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,02 Ludwigsvorstadt - Isarvorstadt,0.7,1,142,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,03 Maxvorstadt,0.7,3,404,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,04 Schwabing - West,4.0,4,101,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,05 Au - Haidhausen,0.5,1,220,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,06 Sendling,1.6,1,64,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,07 Sendling - Westpark,8.4,21,251,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,08 Schwanthalerhöhe,100.0,1,1,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,09 Neuhausen - Nymphenburg,15.7,11,70,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,10 Moosach,5.9,25,423,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,11 Milbertshofen - Am Hart,11.7,35,299,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,12 Schwabing - Freimann,7.6,46,604,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,13 Bogenhausen,5.0,95,1912,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,14 Berg am Laim,21.0,13,62,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,15 Trudering - Riem,9.2,100,1090,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,16 Ramersdorf - Perlach,5.2,55,1053,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,17 Obergiesing - Fasangarten,4.0,7,173,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,18 Untergiesing - Harlaching,2.3,14,603,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,11.6,89,769,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,20 Hadern,25.8,51,198,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,21 Pasing - Obermenzing,7.6,85,1124,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,22 Aubing - Lochhausen - Langwied,15.6,110,704,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,23 Allach - Untermenzing,39.0,120,308,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,24 Feldmoching - Hasenbergl,29.0,98,338,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2018,25 Laim,31.0,22,71,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,Stadt München,7.6,901,11910,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,01 Altstadt - Lehel,0.0,0,41,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,02 Ludwigsvorstadt - Isarvorstadt,1.4,2,148,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,03 Maxvorstadt,0.5,1,182,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,04 Schwabing - West,0.9,2,221,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,05 Au - Haidhausen,0.8,4,472,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,06 Sendling,0.0,0,316,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,07 Sendling - Westpark,20.8,25,120,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,08 Schwanthalerhöhe,0.0,0,63,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,09 Neuhausen - Nymphenburg,2.2,9,403,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,10 Moosach,4.9,26,527,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,11 Milbertshofen - Am Hart,4.3,30,696,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,12 Schwabing - Freimann,5.6,26,461,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,13 Bogenhausen,9.6,111,1159,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,14 Berg am Laim,9.9,14,142,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,15 Trudering - Riem,20.3,80,394,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,16 Ramersdorf - Perlach,4.8,60,1257,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,17 Obergiesing - Fasangarten,4.1,15,369,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,18 Untergiesing - Harlaching,14.1,24,170,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,7.4,97,1312,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnungen Ein- und Zweifamilienhaus,2017,20 Hadern,8.0,38,474,,,,genehmigte Neubauwohnungen (Ein- und Zweifamilienhaus),genehmigte Neubauwohnungen (insgesamt),,,
